Unnamed: 0,feels like…,category,auto_metaphorical_label,auto_metaphor_subtypes
FORA,its really tight ,sensory,,
FORA,I'm on a boat in very choppy waters. ,metaphorical,,
FORA,its going to burst ,uncategorized,,
FORA,it's crawling ,uncategorized,,
FORA,the nagging feeling of ,uncategorized,,
FORA,clitoral throbbing ,sensory,,
FORA, a 10/40 pregnancy,uncategorized,,
FORA,ur peeing acid,uncategorized,,
FORA,I have paper cuts all over inside,uncategorized,,
FORA,like tingling electric shocks,sensory,,
FORA,on top of blowing up,uncategorized,,
FORA,its hurts to breath,uncategorized,,
FORA,someone cut into my lower abdomen ,uncategorized,,
FORA,and then dumped in a bucket full of hot coals. ,sensory,,
FORA,a blister,uncategorized,,
FORA,I've been kicked in the gut,uncategorized,,
FORA,blisters ,uncategorized,,
FORA,that are about to pop,uncategorized,,
FORA,seeth,uncategorized,,
FORA, is trying to wring them out like you would with with a wet towel. ,uncategorized,,
FORA,someone has sucker punched me square in the stomach,uncategorized,,
FORA,my insides are literally going to fall out,uncategorized,,
FORA,u are being squeezed around the upper abdomen,uncategorized,,
FORA,my stomach and intestines were spasming,sensory,,
FORA,I'm in the last stages of labour ,uncategorized,,
FORA,Im rupturing it just by coughing sometimes,uncategorized,,
FORA,a cripple,uncategorized,,
FORA,"a sword is going in, and after my left side will swell up ",uncategorized,,
FORA,I was punched in the stomach,uncategorized,,
FORA, death. I swear I could see the light. ,uncategorized,,
FORA,I'm 100. Turning this ship around one step at a time. ,uncategorized,,
FORA,I am not getting a great breath in,uncategorized,,
FORA,a dragging sensation,uncategorized,,
FORA,I am 9 months pregnant,uncategorized,,
FORA,I've been shot in the stomach,uncategorized,,
FORA,there's an elephant sitting on my chest,uncategorized,,
FORA,to carry a baby and ,uncategorized,,
FORA, have its feet sticking up under your ribs,uncategorized,,
FORA,everything in my tummy is falling out when I walk,uncategorized,,
FORA,I did a lot of crunches,uncategorized,,
FORA,my bladder is going to burst,uncategorized,,
INTERVIEW,a balloon swelling up inside you ,uncategorized,,
INTERVIEW,"a big, a lump of coal",uncategorized,,
INTERVIEW,a furnace in your belly,uncategorized,,
INTERVIEW,someone putting an iron to ,uncategorized,,
INTERVIEW,"a huge muscle,like the worst muscle cramp ",uncategorized,,
INTERVIEW,a pumpkin ,uncategorized,,
INTERVIEW,a screw is being tightened ,uncategorized,,
INTERVIEW,but like someone's cutting you ,uncategorized,,
INTERVIEW,my whole body can be in pain at the same time. ,uncategorized,,
INTERVIEW,agonising,uncategorized,,
INTERVIEW,amnesia ...because my talking brain stops being charge an,uncategorized,,
INTERVIEW,someone gripping the botto,uncategorized,,
INTERVIEW,a whole body pain,uncategorized,,
INTERVIEW,burst out ,uncategorized,,
INTERVIEW,claws around my womb,uncategorized,,
INTERVIEW,I'm doomed,uncategorized,,
INTERVIEW,I had a balloon,uncategorized,,
INTERVIEW,I lose my sense of self,uncategorized,,
INTERVIEW,I had an operation ...just a general tenderness,uncategorized,,
INTERVIEW,I've been run over,uncategorized,,
INTERVIEW,"I've just done a 12 hour shift on the ward, when I've just woken up",uncategorized,,
INTERVIEW,l'm going to shit out my insides ,uncategorized,,
INTERVIEW,a hot poker or ,sensory,,
INTERVIEW,a muscular pain,uncategorized,,
INTERVIEW,tunnel vision,uncategorized,,
INTERVIEW,it's very mechanical,uncategorized,,
INTERVIEW,unnatural for the environment,uncategorized,,
INTERVIEW,sort of beyond human consciousness ,uncategorized,,
INTERVIEW,someone's just opened turned all the lights on. And you can see and breathe ,uncategorized,,
INTERVIEW,scraping,sensory,,
INTERVIEW,two discs or cogs or something like that,uncategorized,,
INTERVIEW,machine. ,uncategorized,,
INTERVIEW,metal against metal,uncategorized,,
INTERVIEW,sparks even,uncategorized,,
INTERVIEW, just like grinding against,uncategorized,,
INTERVIEW,my ovary is going ba boom ba boom ba boom,uncategorized,,
INTERVIEW,possesses you  ,uncategorized,,
INTERVIEW,my insides were trying to kill me ,uncategorized,,
INTERVIEW,somebody putting barbed wire through your belly button,uncategorized,,
INTERVIEW, in a figure of eight around your pelvis ,uncategorized,,
INTERVIEW,somebody's given you an electric shock,sensory,,
INTERVIEW,someone gripping the bottom of my spine ,uncategorized,,
INTERVIEW,someone had shoved a poker up your backside ,uncategorized,,
INTERVIEW,someone squeezing your insides,sensory,,
INTERVIEW,someone's cutting you ,uncategorized,,
INTERVIEW,something's going to pop,uncategorized,,
INTERVIEW,there's some kind of physical force,uncategorized,,
INTERVIEW,screws tightening,uncategorized,,
INTERVIEW,transcendental. Yeah yeah and nothing else matters. But not in a good way. ,uncategorized,,
INTERVIEW,someone punching my cervix,uncategorized,,
INTERVIEW,you can't hear anything,uncategorized,,
INTERVIEW,metal wool on the inside of your stomach ,uncategorized,,
INTERVIEW,when someone has long nails against a chalk board,uncategorized,,
INTERVIEW,you're dragging your insides,uncategorized,,
INTERVIEW,your insides are gonna fall out on the floor,uncategorized,,
INTERVIEW,toothache pain in your back,uncategorized,,
INTERVIEW,your insides are gonna fall out on the floor,uncategorized,,
INTERVIEW,your ovaries are just gonna like burst out  ,uncategorized,,
INTERVIEW,your skin's hot but it's on the inside,sensory,,
INTERVIEW,someone is inside of me,uncategorized,,
INTERVIEW,hammered or ,uncategorized,,
INTERVIEW, screwed ,uncategorized,,
SOCIAL MEDIA,Someone taking a rake to my uterus or ,uncategorized,,
SOCIAL MEDIA,a slow grind ,uncategorized,,
SOCIAL MEDIA,with vice grips,uncategorized,,
SOCIAL MEDIA,I thought I was losing my mind,uncategorized,,
SOCIAL MEDIA,tiny men playing,uncategorized,,
SOCIAL MEDIA,with barb wire,uncategorized,,
SOCIAL MEDIA,someone is squeezing or,sensory,,
SOCIAL MEDIA,a rake or a cheese grater is scraping my insides,sensory,,
SOCIAL MEDIA,like my abdomen is filed with blood and could burst open,uncategorized,,
SOCIAL MEDIA,there's a balloon inflated inside me ,uncategorized,,
SOCIAL MEDIA, squashing everything and putting pressure on my bladder and other organs,sensory,,
SOCIAL MEDIA,A t-rex has been unleashed on my insides,uncategorized,,
SOCIAL MEDIA,my insides are swollen and trying to escape,uncategorized,,
SOCIAL MEDIA,a hedgehog is running around my uterus,uncategorized,,
SOCIAL MEDIA,there's a hot coal rollin around in my uterus,sensory,,
SOCIAL MEDIA,my internal organs try to strangle each other,uncategorized,,
SOCIAL MEDIA,I'm not just under the weather. I'm the Wicked Witch of the East UNDER the house the weather threw at me,uncategorized,,
SOCIAL MEDIA,"a violent, sporadic, samurai sword massacre in & around your delicates. ",uncategorized,,
SOCIAL MEDIA,a ninja is cutting apart my insides ,uncategorized,,
SOCIAL MEDIA,a swarm of angry european wasps invade your uterus,uncategorized,,
SURVEY,my uterus and other pelvic organs are trying to claw their way out.  ,uncategorized,,
SURVEY,Sometimes using a white hot poker. ,sensory,,
SURVEY,you peeled a grape and the remaining flesh is painful,uncategorized,,
SURVEY,my internal organs have been pulverized,uncategorized,,
SURVEY,my organs are going to fall out of my vagina,uncategorized,,
SURVEY,something is bursting to get out.,uncategorized,,
SURVEY,my insides are being rung out,uncategorized,,
SURVEY,Insides falling out ,uncategorized,,
SURVEY,with acid.,uncategorized,,
SURVEY,a stitch I got years ago. ,uncategorized,,
SURVEY,sharp knives or ,sensory,,
SURVEY,an electric shock playing in the pelvic area.,sensory,,
SURVEY,"Glass shards,",uncategorized,,
SURVEY, electric shocks,sensory,,
SURVEY,with barbwire ,uncategorized,,
