feels like…,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
"a small blade is sitting just inside my hip bone,",metaphorical,['violence_with_object'],[],,
black cloud that I was in,,[],[],,
my womb is so tight that its about to explode at any moment.,,[],"['sensory', 'affective']",affective,high
its really tight ,,[],['sensory'],sensory,medium
I'm on a boat in very choppy waters. ,,[],[],,
its going to burst ,,[],[],,
it's crawling ,metaphorical,['motion_forceful'],['sensory'],sensory,
the nagging feeling of ,,[],[],,medium
clitoral throbbing ,,[],[],,medium
I'm carrying a 5 pound weight in my abdomen all the time,,[],[],,
 goes to my back and left hip and radiates down my leg,,[],[],,
 a 10/40 pregnancy,,[],[],,
ur peeing acid,,[],[],,
"someone cut me deep all over of my insides with a thin, sharp knife",metaphorical,['violence_with_object'],[],,medium
I have paper cuts all over inside,,[],[],,
"my ovaries are gonna explode, ",,[],['affective'],affective,high
shoots into my back ,metaphorical,['motion_forceful'],['sensory'],sensory,
like tingling electric shocks,,[],[],,low
it is gonna rip apart,,[],[],,
I have to push something out,,[],[],,
[my ovaries] they're gonna tear apart ,,[],[],,
on top of blowing up,,[],[],,
"there bruised badly, like someones pressing the bruise ",,[],[],,
its hurts to breath,,[],[],,
its gonna rip apart and blow up,,[],[],,
I had very tiny people in there with ropes tied tightly around my insides and pulling down,,[],['sensory'],sensory,medium
someone cut into my lower abdomen ,,[],[],,
and then dumped in a bucket full of hot coals. ,metaphorical,['heat_temperature'],['sensory'],sensory,
a blister,,[],[],,
someone was twisting my insides,,[],['sensory'],sensory,
I've been kicked in the gut,,[],[],,
blisters ,,[],[],,
that are about to pop,,[],[],,
seeth,,[],[],,
someone has a hold of my insides and,,[],[],,
 is trying to wring them out like you would with with a wet towel. ,,[],[],,
someone has sucker punched me square in the stomach,,[],[],,
my insides are literally going to fall out,,[],[],,
my internal organs are being squeezed and twisted,,[],[],,
 and twisted,,[],[],,
it is being ripped out of you body,,[],[],,
there is a string attached from my belly button to my clitoris and when I stand/sit up that string is pulling,,[],[],,
like my insides are tearing,,[],[],,
my insides are tearing,,[],[],,
u are being squeezed around the upper abdomen,,[],[],,
makes me imagine a small blade,metaphorical,['violence_with_object'],[],,
my womb had blown up and i cant bear to touch the area,,[],[],,
my stomach and intestines were spasming,,[],[],,
I'm in the last stages of labour ,,[],[],,
things are falling out of me,,[],[],,
Im rupturing it just by coughing sometimes,,[],[],,
things are being ripped or ,,[],[],,
a cripple,,[],[],,
"a sword is going in, and after my left side will swell up ",,[],[],,
I was punched in the stomach,,[],[],,
someone is scraping me inside with razor blades,metaphorical,['violence_with_object'],[],,
something is pushing on my bladder,,[],[],,
 death. I swear I could see the light. ,,[],[],,low
I'm 100. Turning this ship around one step at a time. ,,[],[],,
air bubbles moving up and down in my back and chest,,[],[],,
I am not getting a great breath in,,[],[],,
 a pulled muscle,,[],[],,
a dragging sensation,,[],[],,
I am 9 months pregnant,,[],[],,
Horrible bearing down pressure ,,[],[],,
I've been shot in the stomach,,[],['sensory'],sensory,
there's an elephant sitting on my chest,,[],[],,
to carry a baby and ,,[],[],,
 have its feet sticking up under your ribs,,[],[],,
what a baby feels like ,simile,[],[],,
everything in my tummy is falling out when I walk,,[],[],,
ripping my insides out,,[],[],,
I did a lot of crunches,,[],[],,
my bladder is going to burst,,[],[],,
labor pains continuous for 7-10 days a month,,[],['sensory'],sensory,
I have a coathanger pulling my insides out,,[],[],,
a balloon swelling up inside you ,,[],[],,
"a big, a lump of coal",,[],[],,
a furnace in your belly,,[],[],,
a hot cross bun on my stomach,metaphorical,['heat_temperature'],['sensory'],sensory,
someone putting an iron to ,,[],[],,
"a huge muscle,like the worst muscle cramp ",,[],[],,
a pumpkin ,,[],[],,
"a thin, sharp needle right through",metaphorical,['violence_with_object'],[],,medium
but like someone's cutting you ,,[],[],,
a twisting,,[],['sensory'],sensory,
everything's just pulling down,,[],[],,
