feels like…,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
"a small blade is sitting just inside my hip bone,",metaphorical,['violence_with_object'],[],,
black cloud that I was in,metaphorical,['weather'],[],,
its really tight ,,[],['sensory'],sensory,medium
I'm on a boat in very choppy waters. ,,[],[],,
its going to burst ,,[],[],,
it's crawling ,,[],['sensory'],sensory,
the nagging feeling of ,,[],[],,medium
clitoral throbbing ,,[],[],,medium
I'm carrying a 5 pound weight in my abdomen all the time,metaphorical,"['weight_pressure', 'violent_action']",[],,
 goes to my back and left hip and radiates down my leg,metaphorical,['motion_forceful'],[],,
 a 10/40 pregnancy,,[],[],,
ur peeing acid,,[],[],,
"someone cut me deep all over of my insides with a thin, sharp knife",metaphorical,['violence_with_object'],[],,medium
I have paper cuts all over inside,,[],[],,
shoots into my back ,metaphorical,['motion_forceful'],['sensory'],sensory,
like tingling electric shocks,,[],[],,low
it is gonna rip apart,metaphorical,['violent_action'],[],,
I have to push something out,metaphorical,['childbirth'],[],,
[my ovaries] they're gonna tear apart ,metaphorical,"['injury', 'violent_action']",[],,
on top of blowing up,,[],[],,
"there bruised badly, like someones pressing the bruise ",metaphorical,"['weight_pressure', 'injury']",[],,
its hurts to breath,,[],[],,
its gonna rip apart and blow up,metaphorical,['violent_action'],[],,
someone cut into my lower abdomen ,,[],[],,
and then dumped in a bucket full of hot coals. ,,[],['sensory'],sensory,
a blister,,[],[],,
someone was twisting my insides,metaphorical,['violent_action'],['sensory'],sensory,
I've been kicked in the gut,,[],[],,
blisters ,,[],[],,
that are about to pop,,[],[],,
seeth,,[],[],,
someone has a hold of my insides and,metaphorical,['confinement'],[],,
 is trying to wring them out like you would with with a wet towel. ,,[],[],,
someone has sucker punched me square in the stomach,,[],[],,
my insides are literally going to fall out,,[],[],,
my internal organs are being squeezed and twisted,metaphorical,['violent_action'],[],,
 and twisted,metaphorical,['violent_action'],[],,
it is being ripped out of you body,metaphorical,['violent_action'],[],,
there is a string attached from my belly button to my clitoris and when I stand/sit up that string is pulling,metaphorical,['violent_action'],[],,
like my insides are tearing,metaphorical,"['injury', 'violent_action']",[],,
my insides are tearing,metaphorical,"['injury', 'violent_action']",[],,
u are being squeezed around the upper abdomen,,[],[],,
makes me imagine a small blade,metaphorical,['violence_with_object'],[],,
my womb had blown up and i cant bear to touch the area,metaphorical,['weight_pressure'],[],,
my stomach and intestines were spasming,,[],[],,
I'm in the last stages of labour ,,[],[],,
