feels like…,category,metaphor_type,metaphor_subtypes,experience_tags,salient_experience,intensity_level
"a small blade is sitting just inside my hip bone,",uncategorized,,[],[],,
black cloud that I was in,metaphorical,,[],[],,
my womb is so tight that its about to explode at any moment.,sensory,,[],"['sensory', 'affective']",affective,high
its really tight ,sensory,,[],['sensory'],sensory,medium
I'm on a boat in very choppy waters. ,metaphorical,,[],[],,
its going to burst ,uncategorized,,[],[],,
it's crawling ,uncategorized,,[],['sensory'],sensory,
the nagging feeling of ,uncategorized,,[],[],,medium
clitoral throbbing ,sensory,,[],[],,medium
I'm carrying a 5 pound weight in my abdomen all the time,metaphorical,,[],[],,
 goes to my back and left hip and radiates down my leg,uncategorized,,[],[],,
 a 10/40 pregnancy,uncategorized,,[],[],,
ur peeing acid,uncategorized,,[],[],,
"someone has stabbed me with a large hunting knife, right in my uterus/ovary",metaphorical,,[],['sensory'],sensory,high
"someone cut me deep all over of my insides with a thin, sharp knife","sensory, metaphorical",,[],[],,medium
I have paper cuts all over inside,uncategorized,,[],[],,
"my ovaries are gonna explode, ",uncategorized,,[],['affective'],affective,high
shoots into my back ,uncategorized,,[],['sensory'],sensory,
like tingling electric shocks,sensory,,[],[],,low
it is gonna rip apart,uncategorized,,[],[],,
I have to push something out,uncategorized,,[],[],,
[my ovaries] they're gonna tear apart ,uncategorized,,[],[],,
on top of blowing up,uncategorized,,[],[],,
"there bruised badly, like someones pressing the bruise ",uncategorized,,[],[],,
its hurts to breath,uncategorized,,[],[],,
its gonna rip apart and blow up,uncategorized,,[],[],,
I had very tiny people in there with ropes tied tightly around my insides and pulling down,uncategorized,,[],['sensory'],sensory,medium
someone cut into my lower abdomen ,uncategorized,,[],[],,
and then dumped in a bucket full of hot coals. ,sensory,,[],['sensory'],sensory,
a blister,uncategorized,,[],[],,
my uterus is being stabbed,uncategorized,,[],['sensory'],sensory,high
someone was twisting my insides,uncategorized,,[],['sensory'],sensory,
I've been kicked in the gut,uncategorized,,[],[],,
coupled with burning  ,sensory,,[],['sensory'],sensory,high
blisters ,uncategorized,,[],[],,
that are about to pop,uncategorized,,[],[],,
seeth,uncategorized,,[],[],,
someone has a hold of my insides and,uncategorized,,[],[],,
 is trying to wring them out like you would with with a wet towel. ,uncategorized,,[],[],,
someone has sucker punched me square in the stomach,uncategorized,,[],[],,
my insides are literally going to fall out,uncategorized,,[],[],,
my internal organs are being squeezed and twisted,uncategorized,,[],[],,
 and twisted,uncategorized,,[],[],,
it is being ripped out of you body,uncategorized,,[],[],,
there is a string attached from my belly button to my clitoris and when I stand/sit up that string is pulling,uncategorized,,[],[],,
like my insides are tearing,uncategorized,,[],[],,
my insides are tearing,uncategorized,,[],[],,
u are being squeezed around the upper abdomen,uncategorized,,[],[],,
makes me imagine a small blade,uncategorized,,[],[],,
my womb had blown up and i cant bear to touch the area,uncategorized,,[],[],,
someone is stabbing me in my left side,sensory,,[],['sensory'],sensory,high
someone has stabbed me ,uncategorized,,[],['sensory'],sensory,high
my stomach and intestines were spasming,sensory,,[],[],,
I'm in the last stages of labour ,uncategorized,,[],[],,
things are falling out of me,uncategorized,,[],[],,
Im rupturing it just by coughing sometimes,uncategorized,,[],[],,
things are being ripped or ,uncategorized,,[],[],,
 like I'm being stabbed.,uncategorized,,[],['sensory'],sensory,high
a cripple,uncategorized,,[],[],,
"a sword is going in, and after my left side will swell up ",uncategorized,,[],[],,
I was punched in the stomach,uncategorized,,[],[],,
someone is scraping me inside with razor blades,sensory,,[],[],,
something is pushing on my bladder,uncategorized,,[],[],,
 death. I swear I could see the light. ,uncategorized,,[],[],,low
I'm 100. Turning this ship around one step at a time. ,uncategorized,,[],[],,
air bubbles moving up and down in my back and chest,uncategorized,,[],[],,
I am not getting a great breath in,uncategorized,,[],[],,
 a pulled muscle,uncategorized,,[],[],,
a dragging sensation,uncategorized,,[],[],,
I am 9 months pregnant,uncategorized,,[],[],,
Horrible bearing down pressure ,"sensory, affective",,[],[],,
contraction-like stabbing pain,sensory,,[],['sensory'],sensory,high
I've been shot in the stomach,uncategorized,,[],['sensory'],sensory,
there's an elephant sitting on my chest,uncategorized,,[],[],,
to carry a baby and ,uncategorized,,[],[],,
 have its feet sticking up under your ribs,uncategorized,,[],[],,
someone is stabbing up inside my rectum with a knife...brings me to tears everytime ,"sensory, metaphorical",,[],['sensory'],sensory,high
what a baby feels like ,uncategorized,,[],[],,
everything in my tummy is falling out when I walk,uncategorized,,[],[],,
ripping my insides out,uncategorized,,[],[],,
I did a lot of crunches,uncategorized,,[],[],,
my bladder is going to burst,uncategorized,,[],[],,
labor pains continuous for 7-10 days a month,temporal,,[],['sensory'],sensory,
I have a coathanger pulling my insides out,uncategorized,,[],[],,
a balloon swelling up inside you ,uncategorized,,[],[],,
"a big, a lump of coal",uncategorized,,[],[],,
a furnace in your belly,uncategorized,,[],[],,
a hot cross bun on my stomach,sensory,,[],['sensory'],sensory,
someone putting an iron to ,uncategorized,,[],[],,
"a huge muscle,like the worst muscle cramp ",uncategorized,,[],[],,
you're burning but on the inside,sensory,,[],['sensory'],sensory,high
a pumpkin ,uncategorized,,[],[],,
a real shooting pain front to back with a knitting needle,sensory,,[],['sensory'],sensory,high
a screw is being tightened ,uncategorized,,[],['sensory'],sensory,medium
"a thin, sharp needle right through",sensory,,[],[],,medium
but like someone's cutting you ,uncategorized,,[],[],,
a twisting,uncategorized,,[],['sensory'],sensory,
everything's just pulling down,uncategorized,,[],[],,
my whole body can be in pain at the same time. ,uncategorized,,[],['sensory'],sensory,
a storm that passes through your body ,metaphorical,,[],[],,
agonising,uncategorized,,[],[],,
amnesia ...because my talking brain stops being charge an,uncategorized,,[],[],,
pushing everything out and away,uncategorized,,[],[],,
someone gripping the botto,uncategorized,,[],[],,
a whole body pain,uncategorized,,[],['sensory'],sensory,
being ripped out ,uncategorized,,[],[],,
burst out ,uncategorized,,[],[],,
claws around my womb,uncategorized,,[],[],,
I'm doomed,uncategorized,,[],[],,
having a hot poker planted inside of your stomach,sensory,,[],['sensory'],sensory,
I had a balloon,uncategorized,,[],[],,
I lose my sense of self,uncategorized,,[],[],,
I was trying to give birth to a pineapple,uncategorized,,[],[],,
I had an operation ...just a general tenderness,uncategorized,,[],[],,
I'm in labour …I'm giving birth,uncategorized,,[],[],,
I've been run over,uncategorized,,[],[],,
"I've just done a 12 hour shift on the ward, when I've just woken up",uncategorized,,[],[],,
